,Identifier,Number of Neighbors,Precision,Recall,F1 Score,Sensitivity,Specificity,Processing Time,Accuracy
49,KNN SKLEARN,25,0.9843076923076923,0.9766233766233766,0.9799382285213827,0.9766233766233766,0.011269841269841268,0.0014759799999978895,98.66666666666666
50,KNN FROM SCRATCH,26,0.992,1.0,0.9959183673469386,1.0,0.005555555555555555,1.7828734800000063,99.66666666666666
51,KNN SKLEARN,26,0.990909090909091,0.9488095238095239,0.9690349946977731,0.9488095238095239,0.005555555555555555,0.001524899999998297,97.66666666666666
52,KNN FROM SCRATCH,27,1.0,1.0,1.0,1.0,0.0,1.808028280000002,100.0
53,KNN SKLEARN,27,0.9505050505050505,0.9146118326118327,0.9305948020233735,0.9146118326118327,0.02489010989010989,0.001584599999995362,95.33333333333334
54,KNN FROM SCRATCH,28,1.0,0.9904761904761905,0.9951219512195122,0.9904761904761905,0.0,1.7705893600000024,99.66666666666666
55,KNN SKLEARN,28,0.9523535353535355,0.9378205128205129,0.9441379755061305,0.9378205128205129,0.03421317244846657,0.0014313599999866255,95.33333333333333
56,KNN FROM SCRATCH,29,1.0,0.9818181818181818,0.9904761904761905,0.9818181818181818,0.0,1.7617137000000072,99.33333333333334
57,KNN SKLEARN,29,1.0,0.8460785802891065,0.9151275139954386,0.8460785802891065,0.0,0.001491279999999051,95.33333333333333
58,KNN FROM SCRATCH,30,1.0,1.0,1.0,1.0,0.0,1.7782296200000132,100.0
59,KNN SKLEARN,30,0.9913043478260869,0.9502461515748589,0.969780552534651,0.9502461515748589,0.005263157894736842,0.0015015800000014678,97.66666666666666
60,KNN FROM SCRATCH,31,0.9904761904761905,0.9904761904761905,0.9904761904761905,0.9904761904761905,0.005128205128205128,1.7916325999999914,99.33333333333334
61,KNN SKLEARN,31,0.9671911421911421,0.9244761904761905,0.9445262567699972,0.9244761904761905,0.015286935286935286,0.0015338000000042484,96.66666666666666
62,KNN FROM SCRATCH,32,0.9904761904761905,1.0,0.9951219512195122,1.0,0.005,1.7802427599999988,99.66666666666666
63,KNN SKLEARN,32,1.0,0.8930688876341051,0.9426944165684947,0.8930688876341051,0.0,0.001455959999998413,96.0
64,KNN FROM SCRATCH,33,1.0,0.9925925925925926,0.9962264150943397,0.9925925925925926,0.0,1.7508028400000057,99.66666666666666
65,KNN SKLEARN,33,0.9486360131096973,0.9106325536062378,0.9287150490782212,0.9106325536062378,0.02607644388132193,0.0015014600000199606,95.33333333333333
66,KNN FROM SCRATCH,34,0.9913043478260869,1.0,0.9955555555555555,1.0,0.005263157894736842,1.7807178800000087,99.66666666666666
67,KNN SKLEARN,34,0.990909090909091,0.9107363225010283,0.9483250276854929,0.9107363225010283,0.0058823529411764705,0.0016996399999925416,96.33333333333334
68,KNN FROM SCRATCH,35,1.0,0.9818181818181818,0.9904761904761905,0.9818181818181818,0.0,1.7707233199999906,99.33333333333334
69,KNN SKLEARN,35,0.9916666666666668,0.8997708174178761,0.941005226756771,0.8997708174178761,0.005405405405405406,0.0017024599999899692,96.33333333333333
70,KNN FROM SCRATCH,36,1.0,0.9777777777777779,0.9882352941176471,0.9777777777777779,0.0,1.7834650999999895,99.33333333333334
71,KNN SKLEARN,36,1.0,0.9345191040843215,0.9647877703691657,0.9345191040843215,0.0,0.0015338800000108677,97.66666666666666
72,KNN FROM SCRATCH,37,0.9764705882352942,1.0,0.9875,1.0,0.008888888888888889,1.778769539999996,99.33333333333334
73,KNN SKLEARN,37,0.9764705882352942,0.9695402298850574,0.9716614906832298,0.9695402298850574,0.008888888888888889,0.0016440600000009909,98.00000000000001
74,KNN FROM SCRATCH,38,1.0,1.0,1.0,1.0,0.0,1.798792139999989,100.0
75,KNN SKLEARN,38,0.9777777777777779,0.9153388543823325,0.9452253302253304,0.9153388543823325,0.009523809523809523,0.0015203999999812367,96.33333333333334
76,KNN FROM SCRATCH,39,1.0,1.0,1.0,1.0,0.0,1.773969280000017,100.0
77,KNN SKLEARN,39,1.0,0.9340879120879121,0.9657556879211014,0.9340879120879121,0.0,0.0015168399999993198,97.33333333333334
78,KNN FROM SCRATCH,40,1.0,1.0,1.0,1.0,0.0,1.770289060000016,100.0
79,KNN SKLEARN,40,1.0,0.9054861804861805,0.949792705052236,0.9054861804861805,0.0,0.0016902399999821683,96.33333333333333
80,KNN FROM SCRATCH,41,1.0,1.0,1.0,1.0,0.0,1.7903366399999983,100.0
81,KNN SKLEARN,41,0.9894736842105264,0.9278997493734336,0.9569208768963191,0.9278997493734336,0.004878048780487805,0.0017698999999993248,96.99999999999999
82,KNN FROM SCRATCH,42,1.0,1.0,1.0,1.0,0.0,1.786691959999996,100.0
83,KNN SKLEARN,42,1.0,0.8670202020202021,0.9264030211118047,0.8670202020202021,0.0,0.0017166000000088388,95.66666666666666
84,KNN FROM SCRATCH,43,1.0,1.0,1.0,1.0,0.0,1.7668214999999918,100.0
85,KNN SKLEARN,43,0.9750915750915752,0.8535797101449276,0.9093779075277688,0.8535797101449276,0.009849849849849851,0.001669560000027559,94.33333333333333
86,KNN FROM SCRATCH,44,1.0,0.9894736842105264,0.9945945945945945,0.9894736842105264,0.0,1.7857403200000135,99.66666666666666
87,KNN SKLEARN,44,0.99,0.8108247892458419,0.8867179925106754,0.8108247892458419,0.005128205128205128,0.0015590599999768529,92.99999999999999
88,KNN FROM SCRATCH,45,1.0,1.0,1.0,1.0,0.0,1.791426560000002,100.0
89,KNN SKLEARN,45,0.99,0.8523036875227545,0.914912457912458,0.8523036875227545,0.005555555555555555,0.0016309999999862157,94.0
90,KNN FROM SCRATCH,46,1.0,1.0,1.0,1.0,0.0,1.7602588999999966,100.0
91,KNN SKLEARN,46,0.9703781512605042,0.9096090314913845,0.9370369077863703,0.9096090314913845,0.01562860639972023,0.0017243599999915205,95.33333333333334
92,KNN FROM SCRATCH,47,1.0,1.0,1.0,1.0,0.0,1.7970916999999986,100.0
93,KNN SKLEARN,47,1.0,0.915904761904762,0.9545678868987139,0.915904761904762,0.0,0.0016116400000100839,96.99999999999999
94,KNN FROM SCRATCH,48,1.0,0.9818181818181818,0.9904761904761905,0.9818181818181818,0.0,1.7597029199999839,99.33333333333334
95,KNN SKLEARN,48,0.9913043478260869,0.9101991341991342,0.9478788434500887,0.9101991341991342,0.005714285714285714,0.0016214999999988322,96.33333333333333
96,KNN FROM SCRATCH,49,1.0,0.9904761904761905,0.9951219512195122,0.9904761904761905,0.0,1.7778341400000044,99.66666666666666
97,KNN SKLEARN,49,0.9913043478260869,0.9038122843340235,0.9435383903792784,0.9038122843340235,0.005405405405405406,0.0016658799999845542,96.33333333333334
98,KNN FROM SCRATCH,50,1.0,1.0,1.0,1.0,0.0,1.8632045000000061,100.0
99,KNN SKLEARN,50,0.9916666666666668,0.9430659340659341,0.9662103865936619,0.9430659340659341,0.005555555555555555,0.0015887600000155544,97.33333333333334
