,Identifier,Number of Neighbors,Precision,Recall,F1 Score,Sensitivity,Specificity,Processing Time,Accuracy
45,KNN SKLEARN,23,0.9012121212121211,0.973296684990838,0.932928009679371,0.973296684990838,0.061309523809523814,0.0015867800000023634,95.0
46,KNN FROM SCRATCH,24,0.9894736842105264,0.9894736842105264,0.9894736842105264,0.9894736842105264,0.004878048780487805,1.9084852399999988,99.33333333333334
47,KNN SKLEARN,24,0.9053333333333334,0.870267580716497,0.8860048603444829,0.870267580716497,0.04459373227453205,0.001732619999995677,92.33333333333333
48,KNN FROM SCRATCH,25,1.0,0.992,0.9959183673469386,0.992,0.0,1.9014135599999975,99.66666666666666
49,KNN SKLEARN,25,0.9192079772079772,0.9845925925925926,0.949868783701447,0.9845925925925926,0.05357104883420673,0.0017969800000003032,96.0
50,KNN FROM SCRATCH,26,1.0,1.0,1.0,1.0,0.0,1.9284077000000024,100.0
51,KNN SKLEARN,26,0.9197911445279866,0.8618193210298474,0.8890363572842601,0.8618193210298474,0.04135753705715195,0.0016589799999962907,92.33333333333333
52,KNN FROM SCRATCH,27,1.0,1.0,1.0,1.0,0.0,1.9292010399999924,100.0
53,KNN SKLEARN,27,0.8634608290260465,0.8721234647705236,0.8644667218693515,0.8721234647705236,0.08469138400738949,0.0016319800000019313,90.0
54,KNN FROM SCRATCH,28,1.0,1.0,1.0,1.0,0.0,1.91189781999999,100.0
55,KNN SKLEARN,28,0.9132165350988879,0.8770267171195965,0.8929967684443388,0.8770267171195965,0.04724275818717112,0.001628379999988283,92.33333333333334
56,KNN FROM SCRATCH,29,1.0,1.0,1.0,1.0,0.0,1.9267661200000135,100.0
57,KNN SKLEARN,29,0.9027245086068616,0.9923076923076923,0.9447845156740036,0.9923076923076923,0.07286251109780521,0.0018738600000119733,95.33333333333334
58,KNN FROM SCRATCH,30,1.0,1.0,1.0,1.0,0.0,1.916201880000017,100.0
59,KNN SKLEARN,30,0.8140632329486819,0.6962847335730631,0.747218672800068,0.6962847335730631,0.07545746496966008,0.0017800800000031813,85.0
60,KNN FROM SCRATCH,31,1.0,0.9942857142857143,0.9971014492753623,0.9942857142857143,0.0,1.9187692200000015,99.66666666666666
61,KNN SKLEARN,31,0.9005957231174623,0.9154688644688644,0.9064191947049091,0.9154688644688644,0.09159010270774977,0.0023942999999917447,91.66666666666666
62,KNN FROM SCRATCH,32,1.0,1.0,1.0,1.0,0.0,1.8796690999999897,100.0
63,KNN SKLEARN,32,0.9059687146057623,0.973103448275862,0.9370652809851464,0.973103448275862,0.06161400324505678,0.001693159999990712,95.0
64,KNN FROM SCRATCH,33,1.0,1.0,1.0,1.0,0.0,1.9117737200000078,100.0
65,KNN SKLEARN,33,0.9166666666666667,0.8147363293143345,0.8573299596555412,0.8147363293143345,0.03994907250721204,0.0018998000000124194,90.66666666666667
66,KNN FROM SCRATCH,34,1.0,1.0,1.0,1.0,0.0,2.085474219999992,100.0
67,KNN SKLEARN,34,0.9078801054018445,0.9067168712294571,0.9067418723070897,0.9067168712294571,0.05266300226505618,0.001778179999985241,93.33333333333333
68,KNN FROM SCRATCH,35,1.0,0.99,0.9948717948717949,0.99,0.0,1.9524572999999918,99.66666666666666
69,KNN SKLEARN,35,0.966097060833903,0.7180434782608696,0.8159215329822279,0.7180434782608696,0.015960960960960963,0.0018271800000206895,89.66666666666666
70,KNN FROM SCRATCH,36,1.0,1.0,1.0,1.0,0.0,1.869450139999992,100.0
71,KNN SKLEARN,36,0.8642461122379986,0.8631428571428572,0.8610926529271575,0.8631428571428572,0.0733853586027499,0.001759099999992486,90.0
72,KNN FROM SCRATCH,37,1.0,1.0,1.0,1.0,0.0,1.9854084000000056,100.0
73,KNN SKLEARN,37,0.8883483645174317,0.8846000376435159,0.8851112604335885,0.8846000376435159,0.08225223488381382,0.0018172599999843441,90.66666666666666
74,KNN FROM SCRATCH,38,1.0,1.0,1.0,1.0,0.0,1.8784101600000214,100.0
75,KNN SKLEARN,38,0.8580556698203757,0.7025062656641604,0.7708418283606253,0.7025062656641604,0.06281612519682508,0.001862699999992401,86.0
76,KNN FROM SCRATCH,39,1.0,1.0,1.0,1.0,0.0,1.8881042799999819,100.0
77,KNN SKLEARN,39,0.9440316205533597,0.8602650103519668,0.8984578382479688,0.8602650103519668,0.031355311355311354,0.0017501600000059624,92.66666666666666
78,KNN FROM SCRATCH,40,0.9913043478260869,1.0,0.9955555555555555,1.0,0.005263157894736842,1.8586310600000047,99.66666666666666
79,KNN SKLEARN,40,0.8576588530148902,0.7286397812713602,0.7863773598902117,0.7286397812713602,0.06121259998025082,0.001743619999990642,86.66666666666666
80,KNN FROM SCRATCH,41,1.0,1.0,1.0,1.0,0.0,1.8806634799999984,100.0
81,KNN SKLEARN,41,0.937171052631579,0.8031148734388566,0.8621768019644662,0.8031148734388566,0.05072207486000589,0.0017604800000071918,89.33333333333333
82,KNN FROM SCRATCH,42,1.0,1.0,1.0,1.0,0.0,1.853858200000002,100.0
83,KNN SKLEARN,42,0.8949999999999999,0.7901326968094899,0.8345798625373094,0.7901326968094899,0.057338680143558196,0.0021578399999953035,88.00000000000001
84,KNN FROM SCRATCH,43,1.0,1.0,1.0,1.0,0.0,1.8503858199999854,100.0
85,KNN SKLEARN,43,0.9097058823529413,0.7314615384615385,0.8086140912227868,0.7314615384615385,0.04255835667600374,0.001771360000009281,87.0
86,KNN FROM SCRATCH,44,1.0,1.0,1.0,1.0,0.0,1.8713585800000145,100.0
87,KNN SKLEARN,44,0.9314141414141414,0.7325172413793103,0.8162541319988129,0.7325172413793103,0.04104315039798911,0.0017644000000245797,87.99999999999999
88,KNN FROM SCRATCH,45,1.0,1.0,1.0,1.0,0.0,1.8496496800000046,100.0
89,KNN SKLEARN,45,0.9239473684210526,0.7452864044168391,0.8218726395555663,0.7452864044168391,0.0449454261954262,0.0020690999999942506,87.99999999999999
90,KNN FROM SCRATCH,46,1.0,1.0,1.0,1.0,0.0,1.8546334800000068,100.0
91,KNN SKLEARN,46,0.9749019607843138,0.7168888888888889,0.8237102954075661,0.7168888888888889,0.00989010989010989,0.0019521600000075522,89.99999999999997
92,KNN FROM SCRATCH,47,1.0,1.0,1.0,1.0,0.0,1.8627378399999883,100.0
93,KNN SKLEARN,47,0.9449019607843138,0.7363636363636363,0.8216731995634057,0.7363636363636363,0.01433804290947148,0.002181639999992058,91.33333333333333
94,KNN FROM SCRATCH,48,1.0,0.992,0.9959183673469386,0.992,0.0,1.9063097000000084,99.66666666666666
95,KNN SKLEARN,48,0.9427350427350427,0.6588095238095238,0.7725655740720303,0.6588095238095238,0.020512820512820513,0.0017888999999854604,86.0
96,KNN FROM SCRATCH,49,1.0,1.0,1.0,1.0,0.0,1.9051287599999909,100.0
97,KNN SKLEARN,49,0.840072463768116,0.6835389322882418,0.7471556691966836,0.6835389322882418,0.09188154223559417,0.0018732599999907507,82.0
98,KNN FROM SCRATCH,50,1.0,1.0,1.0,1.0,0.0,1.9351411800000051,100.0
99,KNN SKLEARN,50,0.8784210526315789,0.6844055944055945,0.7677309682187732,0.6844055944055945,0.060361197110423113,0.002137579999998707,84.0
